played_at,track_id,track_name,artist_id,artist_name,album_id,album_name,album_release_date,duration_ms,popularity,explicit,track_uri
2025-10-25T21:47:29.671Z,7rIBp3U5Igzn44l7Z7mOtE,SUN,1S2S00lgLYLGHWA44qGEUs,Gen Hoshino,1vtIqjn25qHypqyoI21q8d,YELLOW DANCER,2015-12-02,241466,45,False,spotify:track:7rIBp3U5Igzn44l7Z7mOtE
2025-10-25T21:40:58.581Z,78W4mTLIh4qoLu92W4IQhO,ライラック,4QvgGvpgzgyUOo8Yp8LDm9,Mrs. GREEN APPLE,40CHqDtwO8xlI3Ns7sZZel,ライラック,2024-04-11,288200,72,False,spotify:track:78W4mTLIh4qoLu92W4IQhO
2025-10-25T21:36:10.924Z,78W4mTLIh4qoLu92W4IQhO,ライラック,4QvgGvpgzgyUOo8Yp8LDm9,Mrs. GREEN APPLE,40CHqDtwO8xlI3Ns7sZZel,ライラック,2024-04-11,288200,72,False,spotify:track:78W4mTLIh4qoLu92W4IQhO
2025-10-25T21:31:04.480Z,78W4mTLIh4qoLu92W4IQhO,ライラック,4QvgGvpgzgyUOo8Yp8LDm9,Mrs. GREEN APPLE,40CHqDtwO8xlI3Ns7sZZel,ライラック,2024-04-11,288200,72,False,spotify:track:78W4mTLIh4qoLu92W4IQhO
2025-10-25T21:26:15.721Z,2gIyLzwAB0kagC7WwQaGWy,utatane,0ufoLkr55gheQNunOgkTae,Leina,7i4NY6tlCB2YvAJnmIyuod,tulip,2023-10-18,181022,46,False,spotify:track:2gIyLzwAB0kagC7WwQaGWy
2025-10-25T21:22:44.202Z,02sy7FAs8dkDNYsHp4Ul3f,Soda Pop,0BJ2EjOqcfgFvlZXNKrNbE,Saja Boys,14JkAa6IiFaOh5s0nMyMU9,KPop Demon Hunters (Soundtrack from the Netflix Film),2025-06-20,150686,94,False,spotify:track:02sy7FAs8dkDNYsHp4Ul3f
2025-10-25T21:20:47.363Z,4YaKlkNVJNbrIqN82EKFsQ,A thought on an autumn night,2SY6OktZyMLdOnscX3DCyS,JANNABI,39YkUaoy7BMzsFvGGMwugk,JANNABI's Small Pieces l,2020-11-06,187000,54,False,spotify:track:4YaKlkNVJNbrIqN82EKFsQ
2025-10-25T00:02:51.694Z,1InF7ads6F8QSsJzOwG52n,Too Much Regret,6jgrgDBt1SbtNbc25sLaTH,Busker Busker,3CAAJzd9d3rvMhHY16dI18,Busker Busker 2nd,2013-09-25,256331,36,False,spotify:track:1InF7ads6F8QSsJzOwG52n
2025-10-24T23:58:34.629Z,2sf18cEv463VgqmdjDsFpw,ベテルギウス,0ixzjrK1wkN2zWBXt3VW3W,Yuuri,25FWSs9iK7hQqyK2fdKvSV,ベテルギウス,2021-11-04,230393,59,False,spotify:track:2sf18cEv463VgqmdjDsFpw
2025-10-24T23:54:43.733Z,7Kqk5EpwqiukPkDutSFFZk,Did I Remember,7j46Sze6UWb7p41IqcYFAp,Catherine Russell,4Ey2JHKRLc0Qy03MvBuPiZ,Send For Me,2022-04-01,206653,59,False,spotify:track:7Kqk5EpwqiukPkDutSFFZk
2025-10-24T23:51:22.319Z,7qKkB9oyLR3af8C17eFkqP,Beautiful Mint Life,2Y9AUayH5pyZpVfkDYDfJV,Stella Jang,01rorj7OHIYYw5cfQzUwIi,Beautiful Mint Life,2020-05-18,204613,30,False,spotify:track:7qKkB9oyLR3af8C17eFkqP
2025-10-24T23:47:51.396Z,39Xa43tlDYeCoDvVyrjs3g,Amaranth,0UEP2XBR9aC5NBKcAKnBIq,CHEN,7vIUunVE4NWLS0uq9X9o5f,Dear my dear - The 2nd Mini Album,2019-10-01,196161,32,False,spotify:track:39Xa43tlDYeCoDvVyrjs3g
2025-10-24T23:44:35.232Z,7jXnAJUThDED9T0U6UODSS,To Lady,5ghNwcHNesKq0Q3zfK39ic,So Soo Bin,79rMrpHJkWpH3zurwFaC5N,Famous Singers And Street Judges EP.7,2024-04-25,222453,31,False,spotify:track:7jXnAJUThDED9T0U6UODSS
2025-10-24T23:40:51.927Z,0wFmsCfngJ0OgfFWdvO8Ml,This Ain't It,4mbvd7ZJ2goftjy1L33LiB,John Park,0uDfX2nGWvb9heTqbT3Mc9,Knock,2012-02-22,246760,29,False,spotify:track:0wFmsCfngJ0OgfFWdvO8Ml
2025-10-24T22:38:59.668Z,3DROD9hDozmCSTKlKc5vaz,The Great Dipper,3ErHVJMsxTq2lLSmnONBm9,Roy Kim,0EDHtO4AUFpX7964eyY9WA,The Great Dipper,2015-12-04,228226,40,False,spotify:track:3DROD9hDozmCSTKlKc5vaz
2025-10-24T22:35:08.609Z,44A0o4jA8F2ZF03Zacwlwx,Je te laisserai des mots,7bPs6jf983f0bjRAt1yxDM,Patrick Watson,1R6MIxBiQensgzDlDes0yT,Je te laisserai des mots,2010-09-10,160853,84,False,spotify:track:44A0o4jA8F2ZF03Zacwlwx
2025-10-24T22:32:27.166Z,7x63A2ceUzPs7UBAxmVGbf,A Song Nobody Knows,3VQDqjQ4wJyw8PzpGdlZpB,Colde,0Jt7PBbKUFwLNEkk6hpPZd,idealism,2021-01-25,289000,45,False,spotify:track:7x63A2ceUzPs7UBAxmVGbf
2025-10-24T22:27:37.856Z,1lORkxEMmsCZqhoxcmk3A3,Nothing,0hDjKSKjl1DC7ovYTDJHe8,Bruno Major,4NWvFq8Cst2Y5iHOouXtMz,To Let A Good Thing Die,2020-06-05,162797,73,False,spotify:track:1lORkxEMmsCZqhoxcmk3A3
2025-10-24T22:24:54.290Z,4g0T8OLqb0aUp5x5GzeKR0,Piano (Inst.),7sS12h1hMwOqXiB5vYdlu8,TOY,2aFUFpaIjQQV7dWYsWsvEx,Da Capo,2014-11-18,130613,9,False,spotify:track:4g0T8OLqb0aUp5x5GzeKR0
2025-10-24T22:22:43.532Z,1sJnaO82h00hzS1eIU6Sjs,Confession,0i9MWBqCpPeaJu6rJkrOoA,ACOURVE,5TPsZ8wCxQhTbhriamrFd7,Confession,2015-05-27,194627,29,False,spotify:track:1sJnaO82h00hzS1eIU6Sjs
2025-10-24T22:19:28.383Z,2avxY7gBSFJ5xOYi0yCyEP,어떤 날들,2Y9AUayH5pyZpVfkDYDfJV,Stella Jang,5NegqDbGVQWj9H4Nn6bh1k,Stairs,2021-10-15,200880,38,False,spotify:track:2avxY7gBSFJ5xOYi0yCyEP
2025-10-24T22:16:06.773Z,3ZsDHcegadVOnzQS00HNlD,The Weight,4BBN286rBKyCWsSPq2cxYO,Sam Kim,0AsQlY5YENtlvd8SLnrSxX,Sun And Moon,2018-11-22,264938,26,False,spotify:track:3ZsDHcegadVOnzQS00HNlD
2025-10-24T22:11:41.776Z,1rjFUFFB9xokmzBioWhrWk,Wanderlust,7LlIWfvgWlDBXfxCvCFbuC,Eloise,2ZM9VkZ1rsJsKgwW1V99Ju,Somewhere In-Between,2021-06-18,187253,45,False,spotify:track:1rjFUFFB9xokmzBioWhrWk
2025-10-24T22:08:33.449Z,0uR59KmP59CM3OWZxXFQ0i,Autumn Night,6jgrgDBt1SbtNbc25sLaTH,Busker Busker,3CAAJzd9d3rvMhHY16dI18,Busker Busker 2nd,2013-09-25,184659,18,False,spotify:track:0uR59KmP59CM3OWZxXFQ0i
2025-10-24T22:05:28.680Z,06vNG6CiV4k8oNA0wUUAO7,Until I Found You - Piano Version,5XKFrudbV4IiuE5WuTPRmT,Stephen Sanchez,6126tYz1txFtCrM0pDbEhc,Until I Found You (Piano Version),2022-03-11,184895,64,False,spotify:track:06vNG6CiV4k8oNA0wUUAO7
2025-10-24T22:02:22.819Z,0kvfHWIeOQe0GDoWktoh8r,Try Again,5ghNwcHNesKq0Q3zfK39ic,So Soo Bin,4OkQktNpOvuGmmqWbM3Hn6,"SingAgain3 - Battle of the Unknown, Ep.11 (From the JTBC TV Show)",2024-01-05,212209,34,False,spotify:track:0kvfHWIeOQe0GDoWktoh8r
2025-10-24T21:58:50.504Z,5QnCtH7euld6R68UwcWrte,(I Love You) For Sentimental Reasons,7v4imS0moSyGdXyLgVTIV7,Nat King Cole,3NoP1ifIejWkGSDsO9T2xH,The Nat King Cole Story,1961-09-25,184466,64,False,spotify:track:5QnCtH7euld6R68UwcWrte
2025-10-24T21:55:45.440Z,1N9TrsZZXX8GQvOvD3PV23,A Little Girl,68TCVp5t1Dxi2TvNuYoYK0,OHHYUK,6KKR9GZN6wnhQmBCFvoTMM,"Reply 1988 (Original Television Soundtrack), Pt. 3",2015-11-21,226274,54,False,spotify:track:1N9TrsZZXX8GQvOvD3PV23
2025-10-24T21:51:59.138Z,6rn05wjqqgF86cDdPRAGaa,To Let A Good Thing Die,0hDjKSKjl1DC7ovYTDJHe8,Bruno Major,4NWvFq8Cst2Y5iHOouXtMz,To Let A Good Thing Die,2020-06-05,135013,54,False,spotify:track:6rn05wjqqgF86cDdPRAGaa
2025-10-24T21:49:42.949Z,51lPx6ZCSalL2kvSrDUyJc,You're Gonna Live Forever in Me,0hEurMDQu99nJRq8pTxO14,John Mayer,0jZFu2tihRJ65iYAo0oOtP,The Search for Everything,2017-04-14,190013,70,False,spotify:track:51lPx6ZCSalL2kvSrDUyJc
2025-10-24T21:46:32.512Z,1cXgYnlavy0ZCPKVCSNL9K,Enjoy This Moment,2Y9AUayH5pyZpVfkDYDfJV,Stella Jang,11ZlYSJRPT7aRGcNRJd1rv,Cheer Up (Original Soundtrack Part.4) - Single,2022-10-24,185000,32,False,spotify:track:1cXgYnlavy0ZCPKVCSNL9K
2025-10-24T21:15:00.180Z,51iiXRaEmvYczLJwZDR2Ql,summerfallwinter sprinG.,2SY6OktZyMLdOnscX3DCyS,JANNABI,1JKiz2WDaNak1fPjmNG1Vt,Jannabi’s small pieces ll : GRIPPIN’THEGREEN,2022-05-10,182000,40,False,spotify:track:51iiXRaEmvYczLJwZDR2Ql
2025-10-24T21:07:01.970Z,3CB5Sjh1COpbybWyOYljzQ,Let's go see the stars,3wkl0GrYTJjWoTmGAJRosv,PARK BO GUM,45w2bmsQ56L9rUlTBLYfkv,Let's go see the stars,2018-10-12,314966,50,False,spotify:track:3CB5Sjh1COpbybWyOYljzQ
2025-10-24T21:01:46.098Z,3FR2yqZsG07NhXz7uPyUyC,You Were Beautiful,5TnQc2N1iKlFjYD7CPGvFc,DAY6,70ryb5nR8iCsY8OlIq2J8c,SUNRISE,2017-06-07,283160,65,False,spotify:track:3FR2yqZsG07NhXz7uPyUyC
2025-10-24T20:57:02.451Z,1q32AhBbgDPdBr5VyCRHq6,I Want You,5XKFrudbV4IiuE5WuTPRmT,Stephen Sanchez,0izGGxTiCAzk9Sgu8loZTe,"What Was, Not Now",2021-10-15,210453,55,False,spotify:track:1q32AhBbgDPdBr5VyCRHq6
2025-10-24T20:53:31.947Z,1hUXDEqjNIIbfjTcaz3jzb,Like the Movies,7gW0r5CkdEUMm42w9XpyZO,Laufey,7pooeoqY4uJkTaW70qxm3z,Typical of Me EP,2021-04-30,162758,67,False,spotify:track:1hUXDEqjNIIbfjTcaz3jzb
2025-10-24T20:32:15.616Z,4KNswWvpsQhCHs99Ub4VIG,"Don't Leave Me, My Love",3VQDqjQ4wJyw8PzpGdlZpB,Colde,5erBmgThxgKG4bhsraVOTX,Love Part 1,2019-05-31,285000,40,False,spotify:track:4KNswWvpsQhCHs99Ub4VIG
2025-10-24T20:27:30.208Z,4fi9IIcjYzxRTRwJUyFO6Q,"Sunny Days, Summer Nights",4BBN286rBKyCWsSPq2cxYO,Sam Kim,0AsQlY5YENtlvd8SLnrSxX,Sun And Moon,2018-11-22,249771,44,False,spotify:track:4fi9IIcjYzxRTRwJUyFO6Q
2025-10-24T20:23:20.041Z,12Uv1vygmATfzGCXOK2rMx,Someday We Will,5ghNwcHNesKq0Q3zfK39ic,So Soo Bin,35m5DoRR3ovZpkFIca0ZnB,Someday We Will,2025-08-28,242648,36,False,spotify:track:12Uv1vygmATfzGCXOK2rMx
2025-10-24T20:19:17.072Z,07koEqsKHZTlGVMC9eoEjO,The Most Beautiful Thing,0hDjKSKjl1DC7ovYTDJHe8,Bruno Major,4NWvFq8Cst2Y5iHOouXtMz,To Let A Good Thing Die,2020-06-05,235426,66,False,spotify:track:07koEqsKHZTlGVMC9eoEjO
