playlist_id,playlist_name,owner_id,is_owner,is_public,is_collaborative,total_tracks,description,snapshot_id,extracted_at
5dzbOhYu8IbnYJkXh7w5Ml,💦✨Spindrift ✨💦,31zzumwgpsmapcx7ndllbq6guraa,True,True,False,10,,AAAAC9yQ6APe786QUMAO1sfKYsAteDxz,2025-10-28 11:49:05.640548
7KbqAlGe4YEvL6lHxDvok7,24' S/S,31zzumwgpsmapcx7ndllbq6guraa,True,True,False,16,,AAAAEWwYbegIG7iFwAEld/uUWvoWXY93,2025-10-28 11:49:06.157646
3J4aPKLbKC0NFJjnEOmEeI,jan 24 :),q50mgpub6pstwwkx18evoalop,False,True,False,19,ANOTHER GREAT YEAR TO SPEND WITH MY AMAZING AND WONDERFUL BOYFRIEND!!!!!!,AAAAI+ql+4/JQOieAvmRqWKzyMwEygXh,2025-10-28 11:49:06.668494
775QNMmZKu4NZbx2XEwsi4,they did surgery on a grape 🍇,31zzumwgpsmapcx7ndllbq6guraa,True,True,False,14,,AAAAFPJiwGhYSb19m089a1JvzkKYj0eL,2025-10-28 11:49:06.975123
0i2FMK9LtAkowhvXjPqxaO,Classicalistababy,31zzumwgpsmapcx7ndllbq6guraa,True,True,False,27,,AAAAHbfNrw+dYL8v1j5agVnUAZGcOBnX,2025-10-28 11:49:07.283289
4iTdJNh69WlpVTrn2H5GfL,aloe (jan 23),q50mgpub6pstwwkx18evoalop,False,True,False,31,healing pop,AAAAOUMlAU/7IT4j8FvzwAywKa9XCYUv,2025-10-28 11:49:07.795928
4RLcrcP585FTUXz4J30gtC,is this what it feels like to feel like this?,q50mgpub6pstwwkx18evoalop,False,True,False,18,the title is a reference to a song by the wombats that coincidentally doesnt fit this playlist,AAAAI+ubunJk9p89/65JmhoCdSpMwAAW,2025-10-28 11:49:08.100510
7wt9LWWOXVLqQlB84PxVuB,end of semester marsupial vibes,q50mgpub6pstwwkx18evoalop,False,True,False,15,I LOVE THE WOMBATS AND CANNOT STOP EATING PEANUT M&amp;MS!!!,AAAAKTupQKcCcW/sPVg3aAoMXeE0I1zN,2025-10-28 11:49:08.404021
4jPjkcNvScLAuE0Gxpuovx,Vocal JazzZZZ,31zzumwgpsmapcx7ndllbq6guraa,True,True,False,26,,AAAAG0kRbvnmCdg2pZObFKkYHHirsX/3,2025-10-28 11:49:08.573145
0i7LX7GwW5bLhY1ZZUOj9Y,Winter ❄️ ,31zzumwgpsmapcx7ndllbq6guraa,True,True,False,26,,AAAAHNir79UyGcCks41pmfqCnN+xeMQL,2025-10-28 11:49:08.921519
5H6ByBKt0e2U6tPJejAE6G,Jazzy 🎄,31zzumwgpsmapcx7ndllbq6guraa,True,True,False,11,,AAAAD+F9BPENqL3GjpdGzqwRzSYsDhRN,2025-10-28 11:49:09.334076
5lfpg8lJGejcrzApSur0sH,Amaranth,q50mgpub6pstwwkx18evoalop,False,True,False,27,,AAAAKJAJDa/hBrdVamGv+dvk+jZIsLKa,2025-10-28 11:49:09.736989
6c8DHRxSR2uINHc9GvUEcf,I actually like Jazz :),31zzumwgpsmapcx7ndllbq6guraa,True,True,False,34,,AAAAJqYkoeqRLE3kbDs4CFZBgQQpiXM9,2025-10-28 11:49:10.147029
6aJmacs5ecKJ4V4QG4POsk,fall 22,q50mgpub6pstwwkx18evoalop,False,True,False,12,,AAAAGrAjrDtRhUl5gskPhDH19eMvaadR,2025-10-28 11:49:10.561221
2UUNUW1eF0FBzZWkX68izG,Fresh breeze,31zzumwgpsmapcx7ndllbq6guraa,True,True,False,22,,AAAAF1RQdWNISHhOHA8y9fc3N39PCMcI,2025-10-28 11:49:10.867126
2DRRLSx3bIDu0ng5vrlaJG,Fall🍁,31zzumwgpsmapcx7ndllbq6guraa,True,True,False,51,,AAAATGhoqEWZVpExdIZhSlndyc1tSCX+,2025-10-28 11:49:11.281035
4ky3BePcqObQRMqySMO67W,Background music is beautiful,31zzumwgpsmapcx7ndllbq6guraa,True,True,False,79,,AAAAY0WHjdW228INUaLR07bsTdv2HvBv,2025-10-28 11:49:11.794716
0AHOn2GL4SWA5Eu5I5x1tq,🎄,31zzumwgpsmapcx7ndllbq6guraa,True,True,False,28,,AAAAHkKllpQnd5pyYhxHSO9O62OhXWqh,2025-10-28 11:49:12.413676
