artist_id,artist_name,genres,popularity,followers
7j46Sze6UWb7p41IqcYFAp,Catherine Russell,"vocal jazz,swing music,jazz",47,39074
2Y9AUayH5pyZpVfkDYDfJV,Stella Jang,,45,246933
7AVa6rcpTQWVqgy91llPP5,BROWN EYED SOUL,k-ballad,44,69357
7gW0r5CkdEUMm42w9XpyZO,Laufey,,82,8451027
6jgrgDBt1SbtNbc25sLaTH,Busker Busker,k-ballad,41,113839
5ghNwcHNesKq0Q3zfK39ic,So Soo Bin,,44,74141
0hDjKSKjl1DC7ovYTDJHe8,Bruno Major,,61,1562937
3HqSLMAZ3g3d5poNaI7GOU,IU,"k-pop,k-ballad",66,9428881
1EowJ1WwkMzkCkRomFhui7,RADWIMPS,"anime,j-pop,j-rock",72,4771067
2XjqKvB2Xz9IdyjWPIHaXi,Sheena Ringo,"j-pop,j-rock,art pop",64,2092721
6rs1KAoQnFalSqSU4LTh8g,back number,"j-pop,j-rock",74,5875915
1S2S00lgLYLGHWA44qGEUs,Gen Hoshino,"j-pop,anime",63,2228154
4QvgGvpgzgyUOo8Yp8LDm9,Mrs. GREEN APPLE,"j-pop,anime,j-rock",78,6269780
0ufoLkr55gheQNunOgkTae,Leina,j-pop,46,81939
0BJ2EjOqcfgFvlZXNKrNbE,Saja Boys,,80,2200665
2SY6OktZyMLdOnscX3DCyS,JANNABI,"k-ballad,k-rock",54,782250
0ixzjrK1wkN2zWBXt3VW3W,Yuuri,j-pop,65,3158450
0UEP2XBR9aC5NBKcAKnBIq,CHEN,"k-ballad,soundtrack",55,1589804
4mbvd7ZJ2goftjy1L33LiB,John Park,k-ballad,39,105516
3ErHVJMsxTq2lLSmnONBm9,Roy Kim,"k-ballad,soundtrack",48,393223
7bPs6jf983f0bjRAt1yxDM,Patrick Watson,,70,917805
3VQDqjQ4wJyw8PzpGdlZpB,Colde,,57,695876
7sS12h1hMwOqXiB5vYdlu8,TOY,k-ballad,23,28859
0i9MWBqCpPeaJu6rJkrOoA,ACOURVE,k-ballad,35,49961
4BBN286rBKyCWsSPq2cxYO,Sam Kim,"k-ballad,k-pop",53,484944
7LlIWfvgWlDBXfxCvCFbuC,Eloise,,45,190286
5XKFrudbV4IiuE5WuTPRmT,Stephen Sanchez,,71,1870266
7v4imS0moSyGdXyLgVTIV7,Nat King Cole,"christmas,adult standards,vocal jazz",68,2536890
68TCVp5t1Dxi2TvNuYoYK0,OHHYUK,k-ballad,46,134257
0hEurMDQu99nJRq8pTxO14,John Mayer,singer-songwriter,75,6218836
3wkl0GrYTJjWoTmGAJRosv,PARK BO GUM,k-ballad,42,89237
5TnQc2N1iKlFjYD7CPGvFc,DAY6,"k-rock,k-pop",65,3866875
