artist_id,artist_name,genres,popularity,followers
2Y9AUayH5pyZpVfkDYDfJV,Stella Jang,,45,246888
7AVa6rcpTQWVqgy91llPP5,BROWN EYED SOUL,k-ballad,44,69299
7gW0r5CkdEUMm42w9XpyZO,Laufey,,82,8442016
6jgrgDBt1SbtNbc25sLaTH,Busker Busker,k-ballad,41,113749
5ghNwcHNesKq0Q3zfK39ic,So Soo Bin,,44,74100
0hDjKSKjl1DC7ovYTDJHe8,Bruno Major,,61,1562765
3HqSLMAZ3g3d5poNaI7GOU,IU,"k-pop,k-ballad",66,9427875
1EowJ1WwkMzkCkRomFhui7,RADWIMPS,"anime,j-pop,j-rock",72,4769170
2XjqKvB2Xz9IdyjWPIHaXi,Sheena Ringo,"j-pop,j-rock,art pop",64,2091442
6rs1KAoQnFalSqSU4LTh8g,back number,"j-pop,j-rock",74,5873524
1S2S00lgLYLGHWA44qGEUs,Gen Hoshino,"j-pop,anime",63,2227249
4QvgGvpgzgyUOo8Yp8LDm9,Mrs. GREEN APPLE,"j-pop,anime,j-rock",78,6265409
0ufoLkr55gheQNunOgkTae,Leina,j-pop,46,81894
0BJ2EjOqcfgFvlZXNKrNbE,Saja Boys,,80,2188131
2SY6OktZyMLdOnscX3DCyS,JANNABI,"k-ballad,k-rock",53,781803
0ixzjrK1wkN2zWBXt3VW3W,Yuuri,j-pop,65,3157431
7j46Sze6UWb7p41IqcYFAp,Catherine Russell,"vocal jazz,swing music,jazz",47,39048
0UEP2XBR9aC5NBKcAKnBIq,CHEN,"k-ballad,soundtrack",55,1589752
4mbvd7ZJ2goftjy1L33LiB,John Park,k-ballad,39,105492
3ErHVJMsxTq2lLSmnONBm9,Roy Kim,"k-ballad,soundtrack",48,393090
7bPs6jf983f0bjRAt1yxDM,Patrick Watson,,70,917479
3VQDqjQ4wJyw8PzpGdlZpB,Colde,,57,695773
7sS12h1hMwOqXiB5vYdlu8,TOY,k-ballad,23,28848
0i9MWBqCpPeaJu6rJkrOoA,ACOURVE,k-ballad,35,49960
4BBN286rBKyCWsSPq2cxYO,Sam Kim,"k-ballad,k-pop",53,484917
7LlIWfvgWlDBXfxCvCFbuC,Eloise,,45,190279
5XKFrudbV4IiuE5WuTPRmT,Stephen Sanchez,,71,1869385
7v4imS0moSyGdXyLgVTIV7,Nat King Cole,"christmas,adult standards,vocal jazz",68,2536264
68TCVp5t1Dxi2TvNuYoYK0,OHHYUK,k-ballad,46,134242
0hEurMDQu99nJRq8pTxO14,John Mayer,singer-songwriter,75,6218233
3wkl0GrYTJjWoTmGAJRosv,PARK BO GUM,k-ballad,42,89122
5TnQc2N1iKlFjYD7CPGvFc,DAY6,"k-rock,k-pop",65,3866154
